name,L-30_1,L-30_2,L-30_3,FD30_1,FD30_2,FD30_3,FD90_1,FD90_2,FD90_3,FD150_1,FD150_2,FD150_3,R+1_1,R+1_2,R+1_3,R+7_1,R+7_2,R+7_3
Prevotella sp900772835,0,0,0,1e-05,3e-05,1e-05,0,1e-05,1e-05,0,2e-05,3e-05,0,0,0,0,0,2e-05
Prevotella sp900545525,0,0,1e-05,1e-05,1e-05,4e-05,1e-05,1e-05,1e-05,0,0,7e-05,0,0,1e-05,0,0,4e-05
Prevotella sp900548195,0,0,0,0,1e-05,1e-05,0,0,1e-05,0,0,2e-05,0,0,0,0,0,1e-05
Prevotella sp900540375,0,0,2e-05,0,0,0.00015,0,0,8e-05,0,0,0.00023,0,0,5e-05,0,0,0.00014
Prevotella sp002251385,0,0,0,0,3e-05,1e-05,0,1e-05,1e-05,0,1e-05,3e-05,0,0,0,0,0,2e-05
Prevotella sp900315955,0,0,0,0,0,1e-05,0,0,0,0,0,1e-05,0,0,0,0,0,1e-05
Prevotella sp900544495,0,0,2e-05,0,1e-05,0.00017,0,0,7e-05,0,0,0.00036,0,0,2e-05,0,0,0.00018
Prevotella sp900770025,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0
Prevotella sp900556275,0,0,0,0,1e-05,2e-05,0,0,1e-05,0,0,5e-05,0,0,0,0,0,2e-05
Prevotella sp900771975,0,0,1e-05,0,2e-05,0.00013,0,1e-05,8e-05,0,0,0.00021,0,0,1e-05,0,0,8e-05
Prevotella sp900762125,0,0,0,0,0,1e-05,0,0,1e-05,0,0,3e-05,0,0,0,0,0,2e-05
Prevotella lascolaii,1e-05,0,0,2e-05,2e-05,3e-05,2e-05,1e-05,2e-05,1e-05,1e-05,5e-05,1e-05,0,0,1e-05,0,4e-05
Prevotella sp900770395,0,0,0,0,0,1e-05,0,0,1e-05,0,0,3e-05,0,0,0,0,0,2e-05
Prevotella melaninogenica,0,0,0,1e-05,2e-05,1e-05,0,0,1e-05,0,1e-05,2e-05,0,0,0,0,0,1e-05
Prevotella sp900543585,0,0,0,1e-05,1e-05,1e-05,0,0,1e-05,1e-05,0,3e-05,0,0,0,0,0,2e-05
Prevotella buccalis,0,0,1e-05,0,0,0.00029,0,0,7e-05,0,0,0.00012,0,0,4e-05,0,0,0.00012
Prevotella sp002251295,0,0,1e-05,0,0,6e-05,0,0,5e-05,0,0,7e-05,0,0,1e-05,0,0,3e-05
Prevotella sp900552675,0,0,0,0,0,4e-05,0,0,2e-05,0,0,8e-05,0,0,1e-05,0,0,6e-05
Prevotella sp900548585,0,0,0,0,0,1e-05,0,0,0,0,0,2e-05,0,0,0,0,0,1e-05
MGYG000002613,0,0,0,0,0,1e-05,0,0,0,0,0,1e-05,0,0,0,0,0,1e-05
Prevotella oris,0,0,0.00072,1e-05,1e-05,0.00609,0,0,0.00173,0,0,0.00669,0,0,0.00143,0,0,0.00609
Prevotella sp900769055,0,0,0,0,0,1e-05,0,0,0,0,0,2e-05,0,0,0,0,0,1e-05
Prevotella sp002251365,0,0,0,1e-05,1e-05,1e-05,0,0,1e-05,1e-05,0,1e-05,1e-05,0,0,0,0,1e-05
MGYG000004009,0,0,1e-05,0,0,3e-05,0,0,1e-05,0,0,6e-05,0,0,1e-05,0,0,3e-05
Prevotella denticola,0,0,0,0,1e-05,2e-05,0,0,1e-05,0,0,6e-05,0,0,1e-05,0,0,2e-05
Prevotella sp900546535,0,0,0,0,0,4e-05,0,0,2e-05,0,0,6e-05,0,0,0,0,0,3e-05
Prevotella sp900544825,0,0,1e-05,0,0,0.00023,0,0,5e-05,0,0,0.00013,0,0,1e-05,0,0,0.00017
MGYG000004880,0,0,0,0,0,1e-05,0,0,0,0,0,2e-05,0,0,0,0,0,1e-05
Prevotella sp900556825,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0
Prevotella sp900550035,0,0,1e-05,0,1e-05,9e-05,0,0,4e-05,0,0,0.00019,0,0,1e-05,0,0,0.00012
Prevotella sp900547005,0,0,0,0,1e-05,3e-05,0,0,1e-05,0,0,7e-05,0,0,1e-05,0,0,4e-05
Prevotella timonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella sp002265625,0,0,3e-05,0,0,0.00024,0,0,0.00012,0,0,0.00049,0,0,3e-05,0,0,0.00029
Prevotella bergensis,0,0,0,1e-05,1e-05,1e-05,0,0,1e-05,1e-05,0,2e-05,0,0,0,0,0,1e-05
Prevotella sp900770845,0,0,0,0,0,1e-05,0,0,0,0,0,2e-05,0,0,0,0,0,1e-05
Prevotella sp900551985,0,0,0,0,0,4e-05,0,0,2e-05,0,0,7e-05,0,0,0,0,0,2e-05
Prevotella sp002299635,0,0,0,0,0,6e-05,0,0,4e-05,0,0,0.0001,0,0,0,0,0,7e-05
MGYG000004348,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,1e-05
Prevotella sp900557405,0,0,0,0,0,2e-05,0,0,1e-05,0,0,3e-05,0,0,0,0,0,2e-05
Prevotella sp900543975,0,0,1e-05,0,0,5e-05,0,0,3e-05,0,0,0.0001,0,0,0,0,0,5e-05
Prevotella sp000433175,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,1e-05
Prevotella sp900765465,0.00013,0,1e-05,1e-05,4e-05,3e-05,2e-05,2e-05,0.0001,1e-05,1e-05,0.00012,5e-05,0,4e-05,1e-05,1e-05,5e-05
Prevotella sp900552965,0,0,0,0,0,1e-05,0,0,0,0,0,2e-05,0,0,0,0,0,1e-05
Prevotella sp900540415,0,0,0,0,0,1e-05,0,0,0,0,0,1e-05,0,0,0,0,0,1e-05
Prevotella sp900313215,0,0,0,0,0,3e-05,0,0,1e-05,0,0,5e-05,0,0,0,0,0,2e-05
Prevotella sp900552515,0,0,1e-05,0,0,0.00013,0,0,7e-05,0,0,0.00031,0,0,1e-05,0,0,0.00017
MGYG000004621,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,1e-05
Prevotella sp900555035,0,0,0,0,0,1e-05,0,0,0,0,0,1e-05,0,0,0,0,0,1e-05
Prevotella sp000431975,0,0,0,0,0,1e-05,0,0,1e-05,0,0,2e-05,0,0,0,0,0,1e-05
Prevotella sp002480935,0,0,0,0,0,1e-05,0,0,0,0,0,2e-05,0,0,0,0,0,1e-05
Prevotella sp900769275,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0
Prevotella sp900553595,0,0,1e-05,0,0,8e-05,0,0,3e-05,0,0,0.00014,0,0,1e-05,0,0,9e-05
Prevotella sp900551055,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0
Prevotella sp900554045,0,0,0,0,0,1e-05,0,0,0,0,0,2e-05,0,0,0,0,0,1e-05
Prevotella sp900767615,0,0,0,0,0,1e-05,0,0,1e-05,0,0,3e-05,0,0,0,0,0,1e-05
Prevotella veroralis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000002092,0,0,1e-05,0,0,5e-05,0,0,2e-05,0,0,0.0001,0,0,1e-05,0,0,0.00012
Paraprevotella clara,0.00084,0.00117,0.00016,0.00067,0.00093,0.00044,0.00108,0.00089,0.0005,0.00112,0.00104,0.00039,0.00103,0.00154,0.00043,0.00104,0.00123,0.00027
Paraprevotella xylaniphila,0.00017,0.00019,4e-05,0.00015,0.00011,0.00024,0.00029,0.00022,0.00013,0.00026,0.00021,0.00023,0.00022,0.0003,9e-05,0.00023,0.00026,0.00013
Paraprevotella sp900546665,0,0,0,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,2e-05,2e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,0
Paraprevotella sp900548345,0,0,0,1e-05,2e-05,0,1e-05,0,0,1e-05,1e-05,0,1e-05,0,0,0,0,0
Paraprevotella sp900760455,0,0,0,1e-05,1e-05,0,0,0,0,0,1e-05,0,0,0,0,0,0,0
MGYG000004824,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000001886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000003470,0.00021,0.0002,6e-05,0.00011,8e-05,0.00011,0.00029,0.00021,0.00011,0.00034,0.0002,5e-05,0.00029,0.00037,0.0001,0.00022,0.00033,6e-05
UBA4372 sp900543815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004885,8e-05,4e-05,1e-05,9e-05,6e-05,6e-05,0.00016,0.00011,4e-05,9e-05,0.0001,3e-05,9e-05,0.00015,4e-05,7e-05,5e-05,3e-05
Prevotellamassilia sp004557035,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,2e-05,2e-05,2e-05,3e-05,2e-05,1e-05,3e-05,3e-05,2e-05,2e-05,2e-05,1e-05
Prevotellamassilia sp004552865,1e-05,1e-05,0,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,3e-05,1e-05,1e-05,3e-05,2e-05,1e-05,2e-05,2e-05,1e-05
Prevotellamassilia sp900540885,2e-05,2e-05,0,2e-05,1e-05,2e-05,6e-05,2e-05,2e-05,2e-05,2e-05,4e-05,2e-05,2e-05,1e-05,2e-05,1e-05,2e-05
Prevotellamassilia sp900542795,0,0,0,0,0,1e-05,0,0,1e-05,1e-05,0,1e-05,1e-05,0,0,1e-05,1e-05,0
Prevotellamassilia sp900541575,0,0,0,0,0,1e-05,0,0,0,0,0,1e-05,0,0,0,0,0,0
Prevotellamassilia sp000437675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotellamassilia sp900772575,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0
Prevotellamassilia sp900768625,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0
MGYG000002575,0.0001,0.00013,1e-05,9e-05,0.00015,6e-05,0.00023,0.00013,6e-05,0.00014,0.00019,2e-05,0.0001,0.00021,5e-05,0.00014,0.00015,4e-05
CAG-462 sp900291465,5e-05,6e-05,2e-05,3e-05,3e-05,3e-05,5e-05,4e-05,2e-05,0.00012,3e-05,2e-05,8e-05,0.0001,3e-05,8e-05,8e-05,3e-05
HGM04792 sp900770705,3e-05,2e-05,0,5e-05,2e-05,3e-05,9e-05,5e-05,2e-05,8e-05,5e-05,3e-05,5e-05,5e-05,1e-05,6e-05,5e-05,1e-05
UBA6398 sp003150315,0,0,0,0,1e-05,1e-05,0,0,1e-05,1e-05,0,1e-05,0,0,0,0,0,1e-05
HGM04593 sp900770665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004596,0,0,0,0,0,1e-05,0,0,0,0,0,2e-05,0,0,0,0,0,1e-05
CAG-617 sp000438115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000682,0,0,0,0,1e-05,1e-05,0,0,1e-05,0,0,2e-05,0,0,0,0,0,1e-05
UBA6382 sp900557555,0,0,1e-05,0,1e-05,2e-05,0,0,2e-05,0,0,2e-05,0,0,1e-05,0,0,1e-05
MGYG000003301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alloprevotella tannerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parabacteroides distasonis,0.03175,0.04505,1e-05,0.02238,0.01545,0.00907,0.01671,0.12834,0.01232,0.03157,0.03308,0.00467,0.01971,0.0498,0.00879,0.01492,0.01834,0.00186
Parabacteroides acidifaciens,0.00401,0.00602,0.00099,0.00323,0.00274,0.00131,0.00468,0.00277,0.00156,0.00325,0.0033,0.0004,0.00244,0.00354,0.00093,0.00287,0.00238,0.00054
Parabacteroides sp003480915,0.00067,0.00023,4e-05,0.00086,0.00015,0.0002,0.00062,0.00061,0.00024,0.00044,0.00029,0.00034,0.00093,0.00034,0.00023,0.00062,0.00027,0.00015
Parabacteroides chinchillae,0.00015,7e-05,3e-05,0.00035,9e-05,8e-05,0.00021,0.0002,0.00011,0.00014,9e-05,7e-05,0.00024,0.00013,0.0001,0.00015,9e-05,7e-05
Parabacteroides sp900548175,7e-05,6e-05,1e-05,4e-05,8e-05,2e-05,5e-05,7e-05,2e-05,9e-05,4e-05,1e-05,6e-05,9e-05,2e-05,9e-05,9e-05,2e-05
Parabacteroides merdae,0.0002,0.00016,0.00015,0.00028,0.00021,0.00773,0.00033,0.00032,0.01184,0.00021,0.0002,0.00932,0.00025,0.0002,0.00812,0.00024,0.00019,0.0152
Parabacteroides faecis,0.00018,4e-05,3e-05,0.00029,0.00051,0.00035,0.00019,0.00033,0.00055,0.00017,0.00027,0.00023,0.00036,0.00011,0.00038,0.00022,0.0002,0.00016
Parabacteroides sp900547435,1e-05,0,0,1e-05,1e-05,1e-05,1e-05,3e-05,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
Parabacteroides sp900552415,0,0,0,1e-05,2e-05,0,1e-05,2e-05,1e-05,1e-05,2e-05,0,1e-05,1e-05,1e-05,1e-05,1e-05,0
Parabacteroides sp900540715,2e-05,0,0,3e-05,2e-05,0,1e-05,1e-05,1e-05,1e-05,1e-05,0,3e-05,1e-05,0,1e-05,1e-05,0
MGYG000004180,0,0,0,1e-05,1e-05,1e-05,0,1e-05,1e-05,0,0,2e-05,1e-05,1e-05,0,0,0,1e-05
Parabacteroides massiliensis,0,0,0,1e-05,0.00017,2e-05,0,6e-05,2e-05,1e-05,3e-05,2e-05,0,1e-05,0,0,1e-05,1e-05
Parabacteroides sp900760525,1e-05,0,3e-05,3e-05,3e-05,7e-05,1e-05,1e-05,8e-05,2e-05,1e-05,6e-05,1e-05,0,3e-05,1e-05,0,2e-05
Parabacteroides sp900549585,0,0,0,1e-05,1e-05,1e-05,0,1e-05,1e-05,1e-05,0,1e-05,0,0,0,0,0,1e-05
RC9 sp900771005,0.0026,0.00232,0.001,0.00282,0.00298,0.00184,0.00364,0.0026,0.00153,0.00319,0.00283,0.00185,0.00313,0.00346,0.0014,0.00338,0.00322,0.00152
