category,L-30_1,L-30_2,L-30_3,FD30_1,FD30_2,FD30_3,FD90_1,FD90_2,FD90_3,FD150_1,FD150_2,FD150_3,R+1_1,R+1_2,R+1_3,R+7_1,R+7_2,R+7_3
Desulfoluna_limicola,1.0089244565673e-06,4.69876533307322e-07,0,3.64973021526042e-07,0,1.22787226181745e-06,4.03059124709415e-07,0,6.44628665887391e-07,7.29632567462348e-07,0,6.30236966190502e-07,8.35111922892923e-07,4.1305428890928e-07,0,9.6894186058154e-07,0,0
Desulfotalea_psychrophila,4.58602025712409e-07,0,0,6.63587311865532e-07,0,7.89346454025502e-07,4.70235645494318e-07,0,6.84917957505353e-07,9.03354607334336e-07,0,6.30236966190502e-07,5.07032238899275e-07,0,0,3.22980620193847e-07,0,0
Desulfosediminicola_ganghwensis,0,0,3.60550119096797e-06,3.31793655932766e-07,0,2.19262903895973e-06,0,0,2.05475387251606e-06,0,0,3.24814436421259e-06,0,0,2.51802507886325e-06,0,0,2.10410166771717e-06
Desulfopila_sp_IMCC35008,0,0,0,0,0,2.01721871584295e-06,0,0,6.84917957505353e-07,0,0,2.56942763139205e-06,0,0,5.55446708572776e-07,0,0,1.67090426554011e-06
Desulfofustis_limnaeus,1.31465914037557e-06,6.08075513691829e-07,0,1.29399525813779e-06,7.63210301100315e-07,1.66639806960939e-06,9.06883030596185e-07,3.09313847685707e-07,1.53099308148255e-06,9.72843423283131e-07,1.04502787880185e-06,1.55135253216123e-06,1.49127129088022e-06,7.15960767442753e-07,8.14655172573404e-07,1.05702748427077e-06,6.36271990562814e-07,0
uncultured_Desulfobulbus_sp_,1.92612850799212e-06,7.73914290153237e-07,1.06391838422006e-06,2.25619686034281e-06,9.61079638422618e-07,3.68361678545234e-06,1.51147171766031e-06,1.04041930585192e-06,4.27066491150397e-06,2.46685296618223e-06,6.49611924660607e-07,5.28429456267421e-06,1.96847810396189e-06,1.40438458229155e-06,3.77703761829487e-06,1.17447498252308e-06,1.07889598399781e-06,5.01271279662032e-06
Desulfobulbus_propionicus,0,0,0,3.98152387119319e-07,0,0,5.03823905886769e-07,0,0,3.82188487718373e-07,0,0,5.66683090534484e-07,3.85517336315328e-07,0,0,0,0
Desulfobulbus_oligotrophicus,0,0,0,5.30869849492425e-07,0,1.49098774649262e-06,5.71000426671672e-07,0,1.32954662339274e-06,9.03354607334336e-07,0,2.18158949835174e-06,5.96508516352088e-07,0,6.66536050287331e-07,0,0,5.07459813978847e-06
Desulfogranum_marinum,0,0,0,0,0,1.79795581194698e-06,0,0,5.64050082651467e-07,0,0,1.64831206542131e-06,0,0,5.18416928001257e-07,0,0,7.42624118017825e-07
Desulfolithobacter_dissulfuricans,0,0,0,3.64973021526042e-07,0,0,5.03823905886769e-07,0,0,5.55910527590361e-07,0,0,4.7720681308167e-07,0,0,0,0,0
Desulfomarina_profundi,0,0,0,0,0,7.45493873246308e-07,0,0,0,0,0,0,0,0,0,0,0,0
Desulfurivibrio_alkaliphilus,0,0,0,0,0,7.01641292467113e-07,0,0,6.44628665887391e-07,0,0,9.21115565970733e-07,0,0,0,3.8170436932e-07,0,1.29959220653119e-06
Desulfoglaeba_alkanexedens,0,0,9.45705230417829e-07,0,0,1.09631451947986e-06,0,0,2.17562174736995e-06,0,0,2.32702879824185e-06,0,0,1.48119122286074e-06,0,0,3.21803784474391e-06
Syntrophobacter_fumaroxidans,4.28028557331582e-07,0,4.90584588279249e-06,4.97690483899149e-07,0,0,5.37412166279221e-07,0,0,7.29632567462348e-07,0,0,0,0,0,0,0,0
Desulfarculus_baarsii,5.19748962474064e-07,0,0,0,0,0,4.36647385101867e-07,0,0,5.21166119615963e-07,0,0,9.84239051980945e-07,0,0,5.28513742135385e-07,0,0
Thermodesulfatator_indicus,4.28028557331582e-07,0,0,0,0,0,6.71765207849026e-07,0,0,3.02276349377259e-06,0,0,0,0,0,0,0,2.16598701088532e-06
Thermosulfuriphilus_ammonigenes,0,0,0,0,0,2.01721871584295e-06,0,0,2.8605397048753e-06,0,0,1.11503463249089e-06,0,0,1.48119122286074e-06,0,0,7.42624118017825e-07
Thermodesulfobacterium_commune,4.28028557331582e-07,0,0,7.29946043052085e-07,0,0,3.69470864316964e-07,0,1.24896804015682e-06,1.3550319110015e-06,0,0,5.96508516352088e-07,0,6.66536050287331e-07,0,0,0
Thermodesulfobacterium_geofontis,0,0,0,0,0,0,0,0,0,4.51677303667168e-07,0,0,0,0,0,0,0,0
Thermosulfurimonas_marina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syntrophus_aciditrophicus,3.97455088950755e-07,0,0,1.02856033339157e-06,0,0,8.73294770203733e-07,0,6.04339374269429e-07,1.32028750302711e-06,0,0,1.07371532943376e-06,3.85517336315328e-07,0,9.10218111455386e-07,0,0
Desulfomonile_tiedjei,5.50322430854891e-07,0,0,5.30869849492425e-07,0,0,0,0,6.44628665887391e-07,9.72843423283131e-07,0,0,0,0,0,4.69789993009231e-07,0,0
Campylobacter_jejuni,0.0001568418927936,0.0001791335183743,3.68233974093942e-05,0.0001836146091931,0.0001862233134684,0.000205142372885,0.0001944760276722,0.0001544882071986,0.0001394815275813,0.0003377156455111,0.0001708479361857,0.0002206798976999,0.0002078832179487,0.0001204466306459,0.0001355660266723,0.0002244715310347,0.0002073416769247,0.0001836138131799
Campylobacter_sputorum,6.42042835997373e-07,5.58323880753407e-06,0,5.64049215085702e-07,6.47315403525822e-06,0,4.03059124709415e-07,2.78101268510149e-05,0,4.86421711641566e-07,7.90831908282479e-06,0,0,3.27689735868029e-06,0,0,1.04846558444916e-05,0
Campylobacter_coli,5.28921002988312e-06,2.26646327830591e-06,2.068730191539e-06,4.77782864543183e-06,2.96804005983456e-06,9.03363164051408e-06,6.78482859927516e-06,7.36729346305956e-06,1.12004230697934e-05,9.03354607334336e-06,2.45722771502056e-06,9.40507472622749e-06,3.66852737556534e-06,1.3768476296976e-06,6.66536050287331e-06,3.64087244582154e-06,5.00718392573345e-06,8.66394804354129e-06
Campylobacter_concisus,1.95670197637295e-06,6.3571530976873e-07,0.0001226461470698,3.98152387119319e-06,2.45923319243435e-06,2.66185165329711e-05,3.72829690356209e-06,0,7.73554399064869e-06,3.24860214560617e-05,1.1015158722506e-06,8.67787822677691e-06,9.84239051980945e-07,1.01886724597622e-06,2.44396551772021e-06,1.73235059922154e-05,0,9.95116318143885e-05
Campylobacter_canadensis,3.66881620569927e-07,0,9.22062599657383e-06,0,4.80539819211309e-07,1.97336613506376e-06,0,1.04041930585192e-06,1.28925733177478e-06,0,3.67171957416865e-07,3.97534086366316e-06,0,3.02906478533472e-07,1.59228056457529e-06,0,4.70287993024689e-07,4.57951539444325e-06
Campylobacter_hyointestinalis,0,0,0,4.64511118305872e-07,0,0,0,0,0,5.90654935564758e-07,0,0,0,0,0,0,3.31967995076251e-07,0
Campylobacter_gracilis,0,0,6.50172345912257e-07,4.31331752712596e-07,0,8.33199034804697e-07,0,0,0,1.25079868707831e-06,0,0,3.57905109811253e-07,0,4.4435736685822e-07,7.92770613203078e-07,0,5.19836882612477e-06
Campylobacter_showae,0,0,7.50653526644151e-06,0,0,1.35943000415503e-06,0,0,6.44628665887391e-07,0,0,0,0,0,9.62774294859478e-07,0,0,1.29959220653119e-06
Campylobacter_lanienae,0,0,6.50172345912257e-07,0,0,0,0,0,0,0,0,0,0,0,4.81387147429739e-07,0,0,0
Campylobacter_novaezeelandiae,0,0,6.50172345912257e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campylobacter_cuniculorum,0,4.1459694115352e-07,0,0,5.3707391558911e-07,0,0,9.56060983755821e-07,0,0,0,0,0,0,0,0,3.59631994665938e-07,0
Campylobacter_ureolyticus,2.75161215427446e-07,0,9.45705230417829e-07,0,0,0,6.38176947456574e-07,7.02986017467515e-07,0,1.04233223923193e-06,0,0,0,0,0,0,0,1.91844563821271e-06
Campylobacter_blaseri,0,0,2.068730191539e-06,0,5.65340963778011e-07,7.01641292467113e-07,0,0,0,5.90654935564758e-07,6.77855921384982e-07,1.35743346564108e-06,0,0,5.18416928001257e-07,0,4.70287993024689e-07,0
Campylobacter_fetus,0,0,0,0,0,5.26230969350335e-07,0,0,5.64050082651467e-07,0,0,8.72635799340695e-07,0,0,7.77625392001886e-07,0,0,0
Helicobacter_pylori,7.7350875003493e-06,1.93478572538309e-06,1.07573969960028e-05,7.53171598967378e-06,2.09176156597864e-06,5.04304678960738e-06,4.09776776787906e-06,3.96484113851679e-06,3.7066148288525e-06,6.39297106728915e-06,1.18624786242372e-06,1.14897046913191e-05,2.20708151050273e-06,2.20295620751616e-06,9.072296240022e-06,2.29022621592e-06,1.88115197209875e-06,1.2624610006303e-05
Helicobacter_cinaedi,0,0,0,8.29484139831915e-07,0,0,1.17558911373579e-06,0,0,1.00758783125753e-06,0,0,4.7720681308167e-07,0,0,0,0,0
Helicobacter_apodemus,0,0,0,0,2.82670481889005e-07,0,0,9.84180424454521e-07,0,0,0,0,5.07032238899275e-07,0,4.81387147429739e-07,0,3.87295994255626e-07,0
Helicobacter_canadensis,0,0,0,3.98152387119319e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helicobacter_suis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4435736685822e-07,0,0,0
Helicobacter_felis,0,0,0,7.29946043052085e-07,0,0,4.36647385101867e-07,0,0,5.90654935564758e-07,0,0,3.57905109811253e-07,0,0,0,0,0
Helicobacter_typhlonius,0,0,0,0,0,0,0,0,0,5.21166119615963e-07,0,0,0,0,0,0,0,0
Helicobacter_hepaticus,0,0,0,6.63587311865532e-07,0,0,0,0,0,0,0,0,0,0,4.81387147429739e-07,5.57875616698462e-07,7.46927988921564e-07,0
Aliarcobacter_cryaerophilus,1.65096729256467e-06,0,0,1.1280984301714e-06,0,9.20904196363086e-07,5.71000426671672e-07,0,7.25207249123315e-07,0,0,7.75676266080617e-07,0,0,0,0,0,0
Malaciobacter_marinus,0,0,0,0,0,0,0,0,0,4.1693289569277e-07,0,0,0,0,0,0,0,0
Malaciobacter_pacificus,0,0,0,0,1.75255698771183e-06,1.6225454888302e-06,0,4.7521854780804e-06,2.0144645808981e-06,0,2.03356776415495e-06,1.8907108985715e-06,0,2.42325182826778e-06,1.59228056457529e-06,0,1.38319997948438e-06,0
Arcobacter_acticola,0,0,0,0,2.57230138518995e-06,0,0,4.695946596683e-06,0,0,2.03356776415495e-06,0,0,2.47832573345568e-06,4.4435736685822e-07,0,1.05123198440813e-06,0
Halarcobacter_sp_,1.46752648227971e-06,2.29410307438281e-06,1.18213153802229e-06,9.29022236611744e-07,1.35681831306723e-06,0,2.6870608313961e-06,1.85588308611424e-06,5.23760791033505e-07,3.99560691705572e-06,1.46868782966746e-06,0,1.28249331015699e-06,1.15655200894598e-06,0,1.9085218466e-06,3.40267194953157e-06,1.98033098138087e-06
