name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
CAG-115 sp900768125	959	S	21	3	24	0.00000
CAG-115 sp003507295	1086	S	20	10	30	0.00000
CAG-115 sp000432175	2985	S	20	3	23	0.00000
CAG-115 sp900766795	4508	S	12	1	13	0.00000
CAG-115 sp003531585	711	S	5	1	6	0.00000
Ruminiclostridium_E sp003512525	2781	S	6	129	135	0.00000
Ruminiclostridium_E sp900539195	5004	S	3	65	68	0.00000
UMGS966 sp900547185	3722	S	177	52	229	0.00001
MGYG000003299	4376	S	1	0	1	0.00000
MGYG000004384	5580	S	69	17	86	0.00000
Ruminococcus sp900761275	2539	S	23	6	29	0.00000
MGYG000003005	4060	S	15	4	19	0.00000
Ruminococcus sp900540005	2627	S	12	4	16	0.00000
MGYG000004057	5222	S	12	1	13	0.00000
MGYG000004598	5807	S	12	0	12	0.00000
MGYG000004849	6065	S	112	30	142	0.00000
MGYG000002089	3014	S	3	0	3	0.00000
MGYG000002708	3744	S	37	76	113	0.00000
MGYG000002677	3707	S	30	3	33	0.00000
UBA3818 sp900557155	3716	S	22	8	30	0.00000
UMGS1601 sp900545345	4146	S	71	1	72	0.00000
UMGS1601 sp900553335	5437	S	8	0	8	0.00000
MGYG000001106	1760	S	40	4	44	0.00000
Pygmaiobacter massiliensis	633	S	10	0	10	0.00000
Angelakisella sp900552845	3032	S	21	4	25	0.00000
Angelakisella sp900547385	5290	S	16	5	21	0.00000
MGYG000004184	5372	S	37	18	55	0.00000
Ruthenibacterium sp900759375	5324	S	12	1	13	0.00000
Ruthenibacterium sp900546885	3091	S	8	2	10	0.00000
MGYG000004791	6009	S	7	0	7	0.00000
QAMM01 sp003150405	4996	S	14	1	15	0.00000
QAMM01 sp900552945	4393	S	10	4	14	0.00000
Negativibacillus sp000435195	1696	S	6	3	9	0.00000
Negativibacillus sp900547015	3061	S	6	2	8	0.00000
Negativibacillus sp900547455	5854	S	6	1	7	0.00000
MGYG000002221	3168	S	17	2	19	0.00000
UMGS1889 sp900556055	1015	S	1	0	1	0.00000
UBA866 sp900543295	2440	S	17	6	23	0.00000
UBA1409 sp900760125	2499	S	13	0	13	0.00000
UMGS363 sp900768245	5822	S	9	2	11	0.00000
MGYG000003858	5018	S	3	0	3	0.00000
UMGS363 sp900550695	3222	S	1	0	1	0.00000
MGYG000002017	2937	S	10	2	12	0.00000
MGYG000000425	838	S	6	0	6	0.00000
UBA1375 sp002305795	4306	S	5	0	5	0.00000
HGM13233 sp900762805	5280	S	5	0	5	0.00000
UMGS1668 sp900768105	1221	S	2	0	2	0.00000
Ruminococcus_E bromii	3489	S	53444	29191	82635	0.00231
Ruminococcus_E sp900755995	1730	S	692	540	1232	0.00003
MGYG000003112	4153	S	23	2	25	0.00000
Ruminococcus_E sp900314705	5150	S	13	0	13	0.00000
CAG-180 sp900540295	4221	S	10711	164	10875	0.00030
MGYG000003752	4900	S	63	8	71	0.00000
MGYG000003557	4666	S	4	0	4	0.00000
Caproiciproducens sp000752215	2268	S	10414	118	10532	0.00029
Caproiciproducens sp900546895	3982	S	97	0	97	0.00000
Pseudoruminococcus massiliensis	166	S	8211	6675	14886	0.00042
Pseudoruminococcus sp902765855	796	S	149	11	160	0.00000
HGM12814 sp900770165	4696	S	6772	996	7768	0.00022
MGYG000004076	5244	S	2966	200	3166	0.00009
MGYG000004159	5342	S	2533	619	3152	0.00009
MGYG000000388	770	S	5	0	5	0.00000
Marseille-P4683 sp900232885	350	S	5441	3388	8829	0.00025
